Taya,Tiempo(ns)
10,43550
20,71360
30,44830
40,34350
50,51720
60,115760
70,63600
80,31110
90,38760
100,43620
110,59810
120,56730
130,80330
140,88330
150,76760
160,105570
170,87520
180,84030
190,92080
200,99530
210,115260
220,138280
230,118330
240,122110
250,124320
260,159700
270,159520
280,169490
290,183400
300,163000
310,192050
320,208330
330,182880
340,226080
350,185290
360,198550
370,248090
380,215530
390,225330
400,239090
410,250630
420,261330
430,268380
440,287860
450,307440
460,277860
470,318780
480,332190
490,310450
500,309280
510,307820
520,305640
530,331770
540,387240
550,357990
560,408540
570,482750
580,421430
590,416360
600,372790
610,484470
620,502600
630,468910
640,474580
650,469020
660,421420
670,503620
680,578030
690,515970
700,479490
710,544450
720,472160
730,464720
740,539800
750,534310
760,575070
770,678210
780,615650
790,560360
800,681460
810,755210
820,597590
830,623210
840,612100
850,684660
860,712610
870,575350
880,677050
890,698520
900,663820
910,638090
920,734470
930,876780
940,865760
950,705460
960,827550
970,739570
980,920210
990,828530
1000,906980
