Taya,Tiempo(ns)
10,102700
20,152470
30,318250
40,488360
50,882900
60,958450
70,1424790
80,1118550
90,1701360
100,2368570
110,4363610
120,3918430
130,6857190
140,8750730
150,8118320
160,17011860
170,11738470
180,12662540
190,15185160
200,17496020
210,20677120
220,26839170
230,27286620
240,30240140
250,36288880
260,38978150
270,45565850
280,49195630
290,54433210
300,60636900
310,66411830
320,72845760
330,78475230
340,89090360
350,98079970
360,106066650
370,116191480
380,125656430
390,142003860
400,147151020
410,158529740
420,170214030
430,183090250
440,194787080
450,210549480
460,223028500
470,240863110
480,254910210
490,270764190
500,286958600
510,304533230
520,321368250
530,339543400
540,362323940
550,379614980
560,401616840
570,422710100
580,445593750
590,469869360
600,493161840
610,519611600
620,545441950
630,567150140
640,600097580
650,626480950
660,654941940
670,684597410
680,715043510
690,749063530
700,783790580
710,819985670
720,850780000
730,889915310
740,922846510
750,1018637410
760,1021026620
770,1051094140
780,1117178350
790,1131557690
800,1180336520
810,1305195940
820,1286319150
830,1328366870
840,1369962030
850,1408618720
860,1454207200
870,1509524810
880,1554673150
890,1643917860
900,1677814420
910,1723486540
920,1780060940
930,1836874280
940,1894287730
950,1958230090
960,2095181130
970,2123433490
980,2185576630
990,2231536890
1000,2317366790
