Taya,Tiempo(ns)
10,12890
20,78260
30,132050
40,242890
50,331660
60,301350
70,248930
80,322660
90,482190
100,604410
110,821770
120,1013080
130,1327260
140,1582390
150,1997810
160,2362170
170,2790210
180,3257130
190,3829020
200,4305800
210,5056300
220,5728880
230,6661600
240,7613000
250,8412140
260,9627210
270,10822780
280,11962060
290,13104750
300,14701160
310,15963650
320,17537710
330,19072010
340,20946560
350,22898290
360,24839990
370,26978840
380,28961420
390,31436190
400,34146460
410,37029380
420,40232530
430,42341310
440,45197930
450,47745740
460,51904930
470,55393830
480,59148120
490,62384220
500,66309590
510,71330070
520,75092040
530,79051000
540,83635230
550,87944120
560,92713960
570,98997860
580,103421720
590,107358690
600,115352030
610,120155970
620,125698490
630,131232940
640,136670570
650,145502450
660,152075700
670,158928560
680,165736330
690,174343140
700,183567740
710,188771800
720,199669470
730,207683220
740,214708000
750,225302910
760,233375620
770,240560180
780,249606550
790,263319570
800,270630660
810,282107180
820,292747630
830,302290990
840,316344300
850,351910510
860,343336170
870,350506800
880,362969230
890,372961070
900,386945250
910,404218070
920,416727540
930,431129480
940,443080760
950,463528980
960,475102310
970,488973630
980,505421600
990,519987030
1000,541513670
