Taya,Tiempo(ns)
10,101690
20,59990
30,112630
40,226150
50,307760
60,351750
70,126850
80,170370
90,268030
100,311060
110,409860
120,527030
130,678100
140,821910
150,1030700
160,1202930
170,1396950
180,1615340
190,1930090
200,2165880
210,2647920
220,2909330
230,3487040
240,3877080
250,4219230
260,4746230
270,5465860
280,5992140
290,6615370
300,7592150
310,7896180
320,8985320
330,9826370
340,10764790
350,11488710
360,12788510
370,13879490
380,14859240
390,16319650
400,17687780
410,18684830
420,21176580
430,21438060
440,23141850
450,24928150
460,26077070
470,28421280
480,30135620
490,32130090
500,35238940
510,35832370
520,38044670
530,41788020
540,42637710
550,46169530
560,48231790
570,49896870
580,53401420
590,55499560
600,58423160
610,62177880
620,65079940
630,69033480
640,72590460
650,75409280
660,78403080
670,84057480
680,86442750
690,89540730
700,94065780
710,97732860
720,102728120
730,107883380
740,111023540
750,117477630
760,120211900
770,127051140
780,130579960
790,136677320
800,142349100
810,149944610
820,154021120
830,158705670
840,169393010
850,181326070
860,179251380
870,186964000
880,195055890
890,200322580
900,207948930
910,215825000
920,226544390
930,232093350
940,240506450
950,252056090
960,259617270
970,268554020
980,278691660
990,290081760
1000,296765100
